Type,Area,Latitude,Longitude,Coordinates,Price(CZK),Region
3+kk,101,50.0893,14.4233,"(50.0894, 14.4234)",18390000,Praha 1
2+kk,89,50.09,14.3425,"(50.09, 14.3426)",10600000,Praha 6
4+kk,109,50.0683,14.4042,"(50.0683, 14.4042)",13815000,Praha 5
1+kk,38,50.0792,14.487,"(50.0793, 14.487)",4150000,Praha 10
3+1,135,50.0857,14.3695,"(50.0857, 14.3696)",16700000,Praha 6
3+kk,99,50.0135,14.3998,"(50.0136, 14.3998)",10091000,Praha 12
1+kk,25,50.0814,14.4718,"(50.0815, 14.4719)",3500000,Praha 3
1+kk,50,50.0869,14.3968,"(50.087, 14.3969)",9900000,Praha 1
2+kk,49,50.0907,14.4763,"(50.0907, 14.4764)",4999000,Praha 3
4+kk,113,50.0766,14.4863,"(50.0766, 14.4863)",10990000,Praha 10
3+kk,82,50.0766,14.4863,"(50.0766, 14.4863)",9990000,Praha 10
2+kk,57,50.1081,14.5258,"(50.1081, 14.5258)",5990000,Praha 9
2+kk,55,50.0953,14.4535,"(50.0954, 14.4536)",7810000,Praha 8
1+kk,31,50.0953,14.4535,"(50.0954, 14.4536)",4755000,Praha 8
3+kk,89,50.0475,14.3022,"(50.0476, 14.3022)",8920000,Praha 13
1+kk,45,50.0919,14.4493,"(50.092, 14.4494)",5490000,Praha 8
6-a-vice,215,50.092,14.4341,"(50.0921, 14.4341)",24900000,Praha 1
1+kk,34,50.0884,14.4585,"(50.0884, 14.4586)",4249929,Praha 3
3+kk,78,50.0884,14.4585,"(50.0884, 14.4586)",8995000,Praha 3
1+kk,29,50.0884,14.4585,"(50.0884, 14.4586)",4304386,Praha 3
3+kk,81,50.0884,14.4585,"(50.0884, 14.4586)",9240250,Praha 3
2+kk,60,50.0884,14.4585,"(50.0884, 14.4586)",6894250,Praha 3
1+kk,36,50.0884,14.4585,"(50.0884, 14.4586)",4591260,Praha 3
1+kk,35,50.0884,14.4585,"(50.0884, 14.4586)",4248734,Praha 3
1+kk,37,50.0884,14.4585,"(50.0884, 14.4586)",4467750,Praha 3
3+kk,66,50.0884,14.4585,"(50.0884, 14.4586)",7830005,Praha 3
4+kk,84,50.0884,14.4585,"(50.0884, 14.4586)",10285600,Praha 3
3+kk,81,50.0884,14.4585,"(50.0884, 14.4586)",9274520,Praha 3
2+kk,81,50.0884,14.4585,"(50.0884, 14.4586)",8245500,Praha 3
1+kk,32,50.0884,14.4585,"(50.0884, 14.4586)",4658742,Praha 3
2+kk,75,50.0884,14.4585,"(50.0884, 14.4586)",7997100,Praha 3
2+kk,68,50.0884,14.4585,"(50.0884, 14.4586)",8037350,Praha 3
2+kk,61,50.0884,14.4585,"(50.0884, 14.4586)",6621700,Praha 3
1+kk,38,50.0884,14.4585,"(50.0884, 14.4586)",4698889,Praha 3
1+kk,39,50.0884,14.4585,"(50.0884, 14.4586)",4996083,Praha 3
3+kk,81,50.0884,14.4585,"(50.0884, 14.4586)",9206900,Praha 3
3+1,75,50.0082,14.4208,"(50.0082, 14.4209)",4900000,Praha 12
4+kk,165,50.0854,14.4209,"(50.0855, 14.421)",18000000,Praha 1
2+kk,58,50.0919,14.4539,"(50.092, 14.4539)",6490000,Praha 8
4+kk,76,50.1383,14.5057,"(50.1384, 14.5057)",6290000,Praha 18
3+kk,82,50.0715,14.3022,"(50.0715, 14.3022)",7950000,Praha 17
2+kk,54,50.151,14.5367,"(50.1511, 14.5367)",4760000,Cakovice
2+1,52,50.0913,14.4797,"(50.0914, 14.4797)",5290000,Praha 3
5+kk,151,50.0618,14.3637,"(50.0619, 14.3638)",19582640,Praha 5
3+1,70,50.0697,14.3677,"(50.0698, 14.3678)",7140000,Praha 5
3+kk,67,50.0474,14.5211,"(50.0474, 14.5211)",5637500,Praha 15
2+kk,60,50.1367,14.5058,"(50.1368, 14.5059)",5490000,Praha 18
1+kk,30,50.1053,14.5403,"(50.1053, 14.5403)",2990000,Praha 14
1+kk,27,50.093,14.3773,"(50.0931, 14.3773)",3283402,Praha 6
2+kk,48,50.0456,14.3365,"(50.0457, 14.3365)",4100000,Praha 13
3+1,71,50.0709,14.5009,"(50.071, 14.5009)",7770000,Praha 10
1+kk,39,50.071,14.4071,"(50.0711, 14.4071)",5090000,Praha 5
3+1,54,50.0249,14.4553,"(50.0249, 14.4554)",4290000,Praha 4
2+kk,49,50.0347,14.3867,"(50.0348, 14.3868)",4690000,Praha 5
2+kk,45,50.0616,14.475,"(50.0617, 14.475)",3960000,Praha 10
1+kk,44,50.0135,14.3998,"(50.0136, 14.3998)",4410209,Praha 12
2+kk,53,50.0647,14.4562,"(50.0647, 14.4562)",5990000,Praha 10
3+kk,53,50.0911,14.3564,"(50.0911, 14.3565)",5950000,Praha 6
2+kk,43,50.0495,14.3505,"(50.0495, 14.3506)",4100000,Praha 13
3+kk,93,50.0135,14.3998,"(50.0136, 14.3998)",7994000,Praha 12
1+1,38,50.0897,14.3844,"(50.0898, 14.3845)",4320000,Praha 6
2+kk,48,50.0768,14.5067,"(50.0769, 14.5068)",4770000,Praha 10
1+kk,33,50.0953,14.4535,"(50.0954, 14.4536)",5226000,Praha 8
2+1,60,50.1084,14.3951,"(50.1084, 14.3951)",6260000,Praha 6
2+1,58,50.008,14.4666,"(50.0081, 14.4666)",5550000,Libus
3+kk,95,50.0971,14.4804,"(50.0971, 14.4804)",8366340,Praha 9
3+kk,75,50.1411,14.5105,"(50.1412, 14.5105)",5790000,Praha 18
2+1,75,50.0774,14.4583,"(50.0775, 14.4583)",8700000,Praha 3
2+kk,58,50.0953,14.4535,"(50.0954, 14.4536)",8887000,Praha 8
3+1,68,50.0459,14.4528,"(50.0459, 14.4528)",6590000,Praha 4
4+1,68,50.0459,14.4528,"(50.0459, 14.4528)",6590000,Praha 4
1+kk,33,50.1057,14.5656,"(50.1057, 14.5656)",3469000,Praha 14
3+kk,94,50.0135,14.3998,"(50.0136, 14.3998)",8654000,Praha 12
2+1,38,50.0731,14.3933,"(50.0732, 14.3934)",4490000,Praha 5
3+kk,101,50.0651,14.4493,"(50.0651, 14.4494)",11680000,Praha 10
3+kk,103,50.0874,14.4052,"(50.0874, 14.4052)",18150000,Praha 1
2+kk,119,50.0874,14.4052,"(50.0874, 14.4052)",22000000,Praha 1
4+kk,138,50.0746,14.3936,"(50.0747, 14.3937)",18000000,Praha 5
2+kk,72,50.0767,14.4355,"(50.0767, 14.4355)",9750000,Praha 2
2+kk,76,50.0564,14.4308,"(50.0564, 14.4309)",13100000,Praha 4
1+kk,38,50.055,14.4294,"(50.0551, 14.4294)",5410000,Praha 4
3+1,92,50.0479,14.4147,"(50.048, 14.4147)",11490000,Praha 4
5+1,152,50.1027,14.437,"(50.1027, 14.437)",13900000,Praha 7
2+kk,60,50.1043,14.5854,"(50.1044, 14.5854)",5389000,Praha 14
2+kk,41,50.0906,14.313,"(50.0906, 14.3131)",4350000,Praha 6
2+1,81,50.1079,14.3948,"(50.108, 14.3948)",9790000,Praha 6
2+kk,46,50.0855,14.554,"(50.0855, 14.554)",4190000,Praha 14
2+1,42,50.0462,14.4453,"(50.0463, 14.4454)",4100000,Praha 4
4+kk,130,50.1043,14.5854,"(50.1044, 14.5854)",12269000,Praha 14
1+kk,46,50.0953,14.4535,"(50.0954, 14.4536)",6394000,Praha 8
2+kk,44,50.055,14.4398,"(50.055, 14.4398)",4495000,Praha 4
2+kk,55,50.0683,14.4042,"(50.0683, 14.4042)",7722000,Praha 5
atypicky,110,50.0746,14.4472,"(50.0746, 14.4472)",13990000,Praha 2
3+kk,66,50.0342,14.4784,"(50.0342, 14.4785)",5590000,Praha 11
3+kk,92,50.1376,14.4747,"(50.1376, 14.4747)",12950000,Praha 8
3+kk,197,50.0533,14.4569,"(50.0534, 14.457)",13499000,Praha 4
2+kk,53,50.01,14.4069,"(50.0101, 14.4069)",5244000,Praha 12
5+kk,148,50.0524,14.5044,"(50.0524, 14.5044)",14960000,Praha 10
2+kk,42,50.087,14.4323,"(50.087, 14.4324)",9177000,Praha 1
3+1,72,50.0308,14.4842,"(50.0308, 14.4842)",5790000,Praha 11
5+kk,116,50.0678,14.3649,"(50.0679, 14.3649)",8450000,Praha 5
1+kk,30,50.0953,14.4535,"(50.0954, 14.4536)",4759000,Praha 8
2+kk,48,50.0695,14.374,"(50.0695, 14.374)",4990000,Praha 5
3+1,78,50.0391,14.3402,"(50.0392, 14.3403)",3680000,Praha 13
4+1,68,50.0575,14.4207,"(50.0576, 14.4207)",6590000,Praha 4
3+1,68,50.0575,14.4207,"(50.0576, 14.4207)",6590000,Praha 4
2+1,57,50.066,14.5107,"(50.0661, 14.5108)",4750000,Praha 10
4+kk,90,50.0336,14.481,"(50.0337, 14.481)",6500000,Praha 11
3+1,80,50.0591,14.4258,"(50.0592, 14.4258)",7770000,Praha 4
4+kk,161,50.0902,14.3257,"(50.0903, 14.3257)",27200000,Praha 6
3+kk,82,50.0953,14.4535,"(50.0954, 14.4536)",11088000,Praha 8
2+kk,45,50.0693,14.3754,"(50.0693, 14.3754)",4540000,Praha 5
2+kk,51,50.1097,14.4463,"(50.1098, 14.4463)",5515405,Praha 7
3+kk,139,50.0485,14.4373,"(50.0486, 14.4374)",23000000,Praha 4
2+kk,66,50.0683,14.4042,"(50.0683, 14.4042)",8853000,Praha 5
2+kk,50,50.0611,14.4444,"(50.0612, 14.4444)",5190000,Praha 4
4+kk,260,50.0359,14.4126,"(50.036, 14.4127)",21970000,Praha 4
3+kk,260,50.0359,14.4126,"(50.036, 14.4127)",21970000,Praha 4
5+kk,235,50.0816,14.4137,"(50.0817, 14.4138)",79000000,Praha 1
4+kk,159,50.1036,14.4388,"(50.1037, 14.4389)",16699000,Praha 7
1+kk,40,50.0135,14.3998,"(50.0136, 14.3998)",4319000,Praha 12
3+1,75,50.099,14.3986,"(50.0991, 14.3986)",6750000,Praha 6
2+1,55,50.0835,14.4341,"(50.0835, 14.4341)",3990000,Praha 1
